text_id,annotators_id,text,initial_paragraph,topic,is_noise_or_spam_text,related_to_election_2024,toxicity,polarized,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit
1-6651,"['20', '5']","Kedutaan Besar Palestina melakukan pertemuan dengan para duta besar negara Arab di kantor Kedubes Palestina untuk Indonesia, Jalan Ki Mangunsarkoro, Menteng, Jakarta Pusat, Selasa (10/10).⁠ ⁠ Dalam konferensi pers, Duta Besar Palestina untuk Indonesia, Zuhair Saleh Mahfud Al Shun, meyakini negara-negara Arab akan bersatu untuk mendukung Palestina. Dengan adanya dukungan dari negara-negara Arab tersebut, Zuhair yakin Palestina akan dapat segera merdeka.⁠ ⁠ Ia juga mengajak kepada seluruh negara Arab untuk mendoakan Palestina agar dapat merebut kemerdekaan dari Israel.⁠ - Kumparan #newsupdate #update #news #quote #palestina #arab #dubes #infoterkini #berita #beritaterkini #kumparan",,Jewish,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6652,"['20', '5']",Nih kawan bpk ini sudah jadi korban  yg salah coba,,UNKNOWN,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6653,"['20', '5']",KENAPA TIAP ADA DEMO DI DKI BINTANG TAMUNYA SELALU IMIGRAN YAMAN? KNP TIDAK ADA IMIGRAN CINA?,,"Tionghoa, Rohingya","['0', '0']","['0', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['1', '0']","['0', '0']"
1-6654,"['20', '5']",#parade #fancy #collegelife #China nb8QUpi73k,,Tionghoa,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6655,"['20', '5', '23', '31']",Indonesia sdh di kuasai Cukong Cina,,Tionghoa,"['0', '0', '0', '0']","['0', '0', '0', '0']","['1', '0', '1', '0']","['1', '1', '0', '0']","['0', '0', '1', '0']","['0', '0', '0', '0']","['0', '0', '1', '0']","['1', '0', '0', '0']","['0', '0', '0', '0']"
1-6656,"['20', '5', '23', '31']",KOMUNITAS WARGA TIONGHOA TERANG TERANGKAN MEMBONGKAR SIFAT ASLI ANIES BASWEDAN.. CUKUP MENCENGANGKAN TERNYATA TIDAK SEPERTI YANG DIBAYANGKAN.,,Tionghoa,"['0', '0', '0', '0']","['1', '1', '1', '0']","['1', '0', '1', '0']","['1', '1', '0', '0']","['0', '0', '0', '0']","['0', '0', '1', '0']","['0', '0', '0', '0']","['1', '0', '0', '0']","['0', '0', '0', '0']"
1-6657,"['20', '5', '23', '31']",#parade #fancy #collegelife #China gvehqidCTK,,Tionghoa,"['0', '1', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']"
1-6658,"['20', '5']","JDI WALIKOTA SOLO 2X, JADI GUBERNUR DKI 1, JADI PRESIDEN 2X DAN LO MASIH NGRIBUTIN IJASAH JOKOWI, KENP KADRUN GK RIBUT SAAT JOKOWI DAFTAR WALIKOTA SOLO, KLO SKRG TELAT JADI PRESIDENYA JUGA MAU TAMAT... HAHAHA KDRUN BODOH.. 🤣🤣",,UNKNOWN,"['0', '0']","['1', '1']","['1', '0']","['1', '1']","['1', '0']","['0', '0']","['1', '0']","['1', '0']","['0', '0']"
1-6659,"['20', '5']",Biar Pendukung Israel marah,,Jewish,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-666,"['7', '15']","“Ya benar, kejadiannya sekitar pukul 08.45 WIB tadi pagi,” kata Kasat Lantas Polresta Banda Aceh, Sukirno, Jumat, 27 Oktober 2023. Salinan ini telah tayang di :=:",,UNKNOWN,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6660,"['20', '5', '23', '31']","Seandainya Kristen dan Yahudi di dunia ini tidak ada, lihat apa yang terjadi?pesawat tidak ada ,mobil tidak ada, Televisi tidak ada,Radio tidak ada, Facebook, Instagram, Twitter,AC, YouTube, Handphone tidak ada,dengan demikian saya percaya Tuhan memberkati pikiran orang orang Kristen dan Yahudi, ## Satu lagi hoax Islam: Lahirnya Para Ilmuwan Persia di Abad Pertengahan adalah berkat jasa Islam Perlu anda ketahui, Ibnu Sina itu bukanlah beragama Islam, dia asalnya bangsa Persia yang beragama Zoroaster dan dia dipaksa masuk Islam agar tidak dibunuh oleh pasukan Islam yang menghancurkan kerajaan Persia yang beragama Zoroaster itu. Ibnu Sina adalah nama yang diberikan oleh penjajah Arab Islam, nama beliau sebenarnya dalah ""Avicenna"" yang berasal dari nama kitab suci Zoroaster ""Aveda"" yang artinya ""Api Suci"". Zoroaster adalah ajaran agama yang mensucikan dan menyembah Tuhan yang Esa dan ""Api"" sebagai simbolnya. Ini juga yang terjadi dengan Abbassid. Apa bakat dan pencapaian dari Rumy, Ibn Arabi, Ibnu Sina dan pemikir2 lain yang terlahir sebagai muslim, yang ada hubungannya dengan Islam? Apa Quran mengajarkan Aljabar, Kimia, Biologi atau Astronomi? (truncated)",,"Kristen, Jewish","['0', '0', '0', '0']","['0', '0', '0', '0']","['1', '0', '0', '0']","['1', '1', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['1', '0', '0', '0']","['0', '0', '0', '0']"
1-6661,"['20', '5']","*KOMIT merupakan komunitas masyarakat Tionghoa* yang terdiri dari berbagai simpul, mulai dari pengusaha, aktivis, advocat, praktisi pendidikan, profesional, hingga milenial. ""Pak Anies, semua yang hadir dalam acara silaturahmi ini adalah tokoh-tokoh dari semua simpul yang berjumlah sekitar 200 orang. Orang-orang yang hadir ini punya jaringan yang luas terhadap masyarakat Tionghoa di seluruh Indonesia,"" *jelas Sekjen Perhimpunan Indonesia Tionghoa (INTI), Ulung Rusman* dalam keterangan tertulis, Sabtu (16/9/2023). Baca artikel detiknews, *""Komunitas Tionghoa Minta Anies Lanjutkan Jejak Kepemimpinan di Indonesia""* selengkapnya  Download Apps Detikcom Sekarang",,Tionghoa,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6662,"['20', '5']","Ehhhh,,,kadrun bego masih percaya ente sama bangsa arab kemana mereka dikala bangsa palestina dibantai Yahudi, tanyakan pada Anies kenapa dia bungkam ,,,,",,Jewish,"['0', '0']","['1', '1']","['1', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['1', '0']","['0', '0']"
1-6663,"['20', '5']","AKHIRNYA SEMUA SADAR, BAHWA BELIAU ADALAH PEMIMPIN YANG TERBAIK UNTUK BANGSA INDONESIA SAAT INI 🇲🇨 Ganjar Pranowo dulu menolak Israel mendapat banyak hinaan, tapi yang hari ini terjadi justru miris dan membuat semua orang di muka bumi sedih hingga turut menyuarakan atas ketidakadilan yang menimpa Palestina. Ganjar telah memaparkan bagaimana konstitusi dan para pendahulu sudah mengamanatkan untuk membela Palestina, serta ikut dalam perdamaian dunia dengan menghapuskan penjajahan di atas dunia. Semua tidak hanya dalam lisan tapi menjadi komitmen, sekaligus kontrak sosial untuk menerapkan dalam kehidupan berbangsa dan bernegara.",,Jewish,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6664,"['20', '5']","Jngn loncat""gitu jln nya nak kaki mu blm kut menopang berat badan mu entar jatuh cacat mu se umur hidup.",,Disabilitas,"['0', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6665,"['20', '5']","Kesesatan wahabi: ﷽ ----- KENAPA WAHABI TAK PATUT DIIKUTI !!! Ada banyak alasan kenapa wahabi/Salafi tak patut diikuti, tentu saja tulisan ini bukan serta merta dibuat dgn mengedepankan kebencian, tetapi lebih pada pengalaman berinteraksi dgn mereka, membaca tulisan mereka, menonton kajian mereka yg tersebar di mana², bahkan refleksi dari membaca buku² yg mengulas mereka hingga yg sering dikutip oleh mereka. Berikut beberapa alasan kenapa kita tidak diperbolehkan mengikuti Wahabi: [1]. Seperti yg kita ketahui bahwa Salafus Shalih adalah orang yg hidup pada abad ke 1-3 Hijriyah. Sebagai manusia Wahabi juga butuh bersosial dgn masyarakat, tetapi karena pemahamannya yg salah maka mereka suka menuduh orang lain yg tidak sepaham dgn mereka, dgn sebutan ""KAFIR"", ""SESAT"", ""AHL BID'AH"", ""SYIAH"", ""KUBURRIYUN"", ""MUNAFIK"" dan lain². Padahal prilaku mereka ini sangat berbeda sekali dgn Salafus Shalih yg menoleransi perbedaan yg sifatnya Furu'iy.",,Syiah,"['0', '0']","['0', '0']","['1', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['1', '0']","['0', '0']"
1-6666,"['20', '5']",Efek gila jabatan 👎👎,,Disabilitas,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6667,"['20', '5']","Bacapres @ganjar_pranowo menyorot masalah kesehatan mental kini jadi fenomena umum di kalangan anak muda. Ia berpesan kepada anak muda tak lupa bersosialisasi dengan baik agar tak mudah stres. ""Stress jadi penyakit umum, RSJ pasien tambah terus. Namun Ganjar mengingatkan, teknologi tetap harus diimbangi dengan kehidupan sosial dan menjaga budaya. - Kumparan #pemilupedia #newsupdate #update #news #quote #ganjar #anakmuda #genz #infoviral #beritaviral #beritaterkini #kumparan",,UNKNOWN,"['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6668,"['20', '5']",Semua Sobat Anies mesti melihat video ini ya🙏,,UNKNOWN,"['1', '1']","['0', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6669,"['20', '5']","Bangsa palestina salah satu bangsa yg pertama kali mengakui kemerdekaan indonesia sebelum mereka direbut dan ditindas israel, jadi wajar kalo kita rakyat indonesia peduli kepada bangsa  Hanya anies capres yg peduli kepada bangsa palestina,, 2024 ayo kita pilih",,Jewish,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-667,"['7', '15']","BEGITU MULIA NYA CINA KEPADA YAMAN, SEMENTARA KADRUN MEMUSUHI NYA🤣🤣🤣",,Tionghoa,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6670,"['20', '5']",NO BUDAK PARTAI NO KOMUNIS YEMEN NO KARYAWAN PARTAI NO KHELAFACUK NO KETURUNAN CHINA NO NGAFEI NO NGATEI SEKALI PRIBUMI TETAP PRIBUMI. UUD45 AYAT 1 WAJIB KITA PERTAHANKAN JGN SAMPAI KOMUNIS/KETURUNAN ASING BERKEDOK PRIBUMI DUDUK MANIS DI BALIK KEKUASAAN MAMARIKA DI INDONESIA INI.,,Tionghoa,"['0', '1']","['0', '0']","['1', '0']","['1', '0']","['1', '0']","['0', '0']","['0', '0']","['1', '0']","['0', '0']"
1-6671,"['20', '5', '23', '31']",Gue punya cita pengen banget ngusir semua keturunan Yaman dari Indonesia saya merasa keturunan Yaman itu kayak Israel ke 2 Gak punya negara tapi ingin merampok negara Indonesia Kok apararat kita diem aja ya padahal semua kelakuan keturunan Yaman itu tidak menguntungkan banget bagi Indonesia Apa yg kita takuti sih keturunan Yaman yg selalu mencaci maki bangsa Indonesia,,Jewish,"['0', '0', '0', '0']","['1', '1', '0', '0']","['1', '0', '1', '0']","['1', '1', '0', '0']","['0', '0', '1', '0']","['0', '0', '1', '0']","['0', '0', '1', '0']","['1', '0', '0', '0']","['0', '0', '0', '0']"
1-6672,"['20', '5']",Apakah artinya mereka dukung LGBT?,,LGBTQ+,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6673,"['20', '5']","UNTUK PARA KADRUNNN YG ADA DI GRUP INI.. TERIMA KASIH🙏 YA DRUNNN... KARENA SETIAP HARI..SETIAP JAM..SETIAP MENIT..SETIAP DETIK... BAGAIMANA CARANYA BIKIN POSTINGAN DAN BERITA YG MENJATUHKAN , MENGHINA , MENCACI MAKI BELIAU.DENGAN MEMBUAT DAN MENYEBAR BERITA BOHONG , FITNAH , DAN HOAX... SAMPAI ANDA STRESSS BERAT DAN AKHIRNYA MASUK KE RSJ (Rumah Sakit Jiwa)🤣🤣🤣",,Disabilitas,"['0', '1']","['0', '0']","['1', '0']","['1', '0']","['0', '0']","['0', '0']","['1', '0']","['1', '0']","['0', '0']"
1-6674,"['20', '5']",Yuh drun lihat tonoto tu di MNCTV orang yg elo jelek2in China mau ganti rumah orang gak mampu. Bukan keturunan Arab kan itu keturunan Cina yg elo hina. Lihat buka mata Lo yg lebar.,,Tionghoa,"['0', '0']","['0', '1']","['1', '0']","['1', '1']","['0', '0']","['1', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6675,"['20', '5']","SIAPAKAH YANG TAKUT, BILA ANIES BASWEDAN MENJADI PRESIDEN INDONESIA 2O24..??? 👉 Fakta: Para Cukong Hitam Oligarki Komunis China, Takut Bila Anies Baswedan Jadi Presiden. Kenapa Kelompok Mereka Takut..??? Karena, Bisnis Kotor dan Haram para Cukong Hitam Oligarki Komunis China Terancam. Kenapa Terancam..??? Karena, hampir semua Bisnis Kotor dan Haram mereka, di dapatkan dengan cara: Memperalat Penyelenggara Negara yang Tidak Benar, Menabrak Aturan dan Melanggar Hukum. Dengan fakta ini: Apakah Kita masih mau bilang Anies Baswedan membahayakan Negara dan tidak memihak Rakyat..??? Jika Pikiran dan Hatimu masih terus kotor dan menilai buruk Anies Baswedan, berarti kamu perlu di bawa ke Psikiater atau Rumah Sakit Jiwa (RSJ) sekarang juga. Sungguh, Indonesia akan Rugi bila tidak Memberikan Kesempatan kepada Orang Baik yang Cerdas dan Berprestasi seperti Anies Baswedan Menjadi Presiden Indonesia..!!! Sampai disini, Kita semua sudah jelas dan paham kan, siapa Anies Baswedan itu..??? Bagaimana menurut pendapat Anda..??? #SaveNKRI #AyoBeraniBicaraBenar #AniesBaswedanPresidenIndonesia2O24 #SalamCerdasAkalSehat __________&&&__________",,"Tionghoa, Disabilitas","['0', '0']","['0', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6676,"['20', '5']","Takdir Tuhan itu tidak ada!!! Apakah anda sudah muak dengan nasib anda hari ini? Bingung? Panik? Bosan? Tidak mengerti kenapa Tuhan yang anda yakini tidak peduli dan tidak merubah hidup anda yang tidak pernah menyenangkan? Apalagi untuk benar-benar merasakan apa yang dinamakan iblis kebahagiaan? Ada orang yang mengatakan dan meyakini bahwa setelah kita berusaha semaksimal mungkin sampai jungkir balik tapi tetap saja tidak berhasil, maka itulah yang dinamakan sebagai takdir Tuhan. Apakah anda tidak merasakan ada yang lucu di sini? Marilah kita jujur-jujuran saja. Apakah itu tidak sama artinya bahwa takdir Tuhan adalah batas ketidak-tahuan kita? Batas ketidak-berdayaan kita? Atau batas kemalasan kita? Ketika sesuatu sudah tidak mampu kita pahami maka itu kita anggap takdir. Jabariyah ringkasnya mengutip pesan Alquran bahwa tidak terjadi segala sesuatunya melainkan atas kehendak Tuhan. Sedangkan Qadariyah bersandar pada pesan Alquran (truncated)",,UNKNOWN,"['0', '0']","['0', '0']","['0', '0']","['1', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6677,"['20', '5']","Sukses kan pemilu 2024 bersama Anis Rasyid Baswedan dan Muhaimin semoga beliau menjadi orang nomer 1 di Indonesia , saya sekeluarga ingin Indonesia tidak di jajah ma orang China kita selamat kan Indonesia , insya Allah bersama amin rakyat",,Tionghoa,"['0', '0']","['0', '1']","['1', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['1', '0']","['0', '0']"
1-6678,"['20', '5']",Untok isok pagi Antar jam 6.. ❤Pisang molen 5000/6igek ❤Nasek bakar 5000/6igek ❤Kelapon 5000/7igek Sile dikeep buatkan yg pasan ii🙏 Siap antar..,,UNKNOWN,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6679,"['20', '5']","Suara wanita dari Timur. Menyenangkan, tetapi pedas. Dia tegur Erlangga karena tak punya kader, dia sentil Yusril dan pimpinan partai gurem Glora. Si bocil Gibran pun dia beri pelajaran. Wanita ini berkulit putih, tapi dari Papua adalah seorang keturunan China, sama dengan Prabowo yg juga keturunan C
Kai",,Tionghoa,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-668,"['7', '15']","Cuman pak ganjar Yg berani secara terbuka menolak israel datang ke Indonesia di pildun u-20, sementara capres yg laen ( apalagi capres yg sekarang sering tereak² doang pro palestin) diem aja takut popularitasnya turun, ini membuktikan bahwa pak Gaanjar benar² berfikir dan berbuat untuk NKRI bukan sekedar popularitas pribadi",,Jewish,"['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6680,"['20', '5', '23', '31']",Gibran cawapres wowo..?? Bodo amat  gw pikirin G rapatkan barisan kita dukung pak ganjar & pak mahfud.. #cuekin aja yg gak bermutu,,UNKNOWN,"['0', '0', '0', '0']","['1', '1', '1', '0']","['1', '0', '0', '0']","['1', '1', '1', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['1', '0', '0', '0']","['0', '0', '0', '0']"
1-6681,"['20', '5']",Jadi buat pembenci Ganjar gegara akibat batalnya Pildun kalian harus paham ini.,,UNKNOWN,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6682,"['20', '5']","Prabowo Tidak Paham Persoalan Moneter ""Miris nian jawabannya dalam forum"" Dalam forum 100 Ekonom 2023, yang diselenggarakan Institute for Development of Economics and Finance (INDEF) bersama CNBC Indonesia. Ada jawaban capres yang membuatku jengkel mendengarnya. Padahal di forum seperti ini, digunakan untuk menjawab keresahan masyarakat di kalangan apa pun. Terlebih di tahun 2023 masih menghadapi krisis global serta diperparah adanya peperangan. Salam - GP-MD GOR RI'1 2024💪🏼🇮🇩💪🏼",,UNKNOWN,"['0', '0']","['1', '1']","['1', '0']","['1', '1']","['0', '0']","['0', '0']","['1', '0']","['0', '0']","['0', '0']"
1-6683,"['20', '5']",KENAPA DIA BEGITU MEMBELA CHINA.. TERNYATA..,,Tionghoa,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6684,"['20', '5']","🚨 PELATIH BRASIL KAGET‼️ ""Ini sangat gila,"" kata Phelipe sambil menggeleng-geleng kepalanya saat melihat kemegahan stadion JIS yang memiliki kapasitas 82 ribu penonton itu. ""Saya baru pertama kali datang ke Indonesia, awalnya saya tidak sempat cari tahu di stadion mana kami akan bermain. Saya pikir mereka tidak punya persiapan yang matang untuk jadi tuan rumah. 💪✊✊ Hanya rezim / kelompok sebelah ( buzzerRp, kodok, kamprett, cebong, kutukupret, cecunguk) yg gk mau #PERUBAHAN Pemilih cerdas, pintar berintelektual pasti pilih capres-cawapres #AMIN (Anies & Muhaimin) Bukan kaleng² kecerdasan dan kepintaran  😎👌👍 TIDAK ADA KATA TERLAMBAT UNTUK BERUBAH, BONG Y‼️ AMIN (Anies & Muhaimin) #BEST_Of_The_BEST for RI 1 & RI 2😎✌💪 #Suara_Anda_Menentukan_Nasib_Bangsa‼️ #SALAM_AKAL_SEHAT💪 #SALAM_PERUBAHAN_PERBAIKAN utk #PERSATUAN_DAN_KEADILAN_RI 😎✌💪",,Disabilitas,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6685,"['20', '5']",Masa allah saya terharu melihat pidato nya pa ganjar pranowo dan pak mahfud md orang santun gaya pidato nya nyambung ber wibawa tdk Ambisius pak ganjar pantas bangt klw jadi presiden eh pas saya lihat pidato nya yg no 1 dan yg no 2 semua nya sombong dan ambisius aku liat nya pngn muntah 1 dan 2 tdk pantas jdi presiden gila jabatan,,Disabilitas,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6686,"['20', '5']",Grup sebelah makin  profesi org pun di,,UNKNOWN,"['0', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6687,"['20', '5']","Ayo kita sambut anggota baru! Mas Bima Mas, Sarungu Jr., Albastore Jpr, Sutopo Bry, Antonius Ado, Meily Mely, Bas Koirewoa, Slamet Nunuk, Recky Manumpahi, Rohani Siagian, Muhammad Agus, Baem Kp Servis, Omas Bw, عريفين, Gopong Munthe Munthe, Anna Foila Lameanda, Uyan Mw, Guntur Ndappa, Chykal Asgar, Temazaro Gea, Toto Atmo, Nadria Nadho, Agung Sudarmada, Murni Togatorop, Allam Nasroh, Nurdin M Pasaribu, Fx Sutono, Jokosaputra, Amanda Mirna, Abudialamsyah, Wayan Elbe, Hengky Ratunsee, Joniarto, Brama Abinaya, AL Lahmak, Konstantinus Wilfridus Beso, Aloysius, Vivi, Fransiskus Yusman, Muhammad Asri S, Tenor Amin Sutanto, Esther Allorerung, Aser Ilu, Herdy Son, Paryanto, Heryanto Se, Mangku Yoga, Mashudi, M Hendri Winata, Ketut Panca, Buulolo Bll, Selvina Agusnita, Rayn Antile, Nioninie Nioninie, Iketut Darmada, Sugeng Triyono, Otwin Otwin Wisang, Rinus Nurak, Lambok Siahaan, Nuri Miranti, Arman Wagle, Mbah Yai Banyuwangi, Maman Udiyana, Karmanktman, Nyoman Sedana, Rahmat OE OE Kartolono, Andrianus Bians, Carmadi Carmadi, Markus Tandiayu, Bisara Pardede, Rusman Tosoga, IKHY, Jhonson Sinaga, Sofianmunthe, Andre Ginta, Felly Sagala, Bang Eky Nadeak, Nicanor Pangulimang, Xaverius Rabu, Alexander Cloud, Dasmawan I Wayan, Kopar Paris, Mbah Jo, Ariel Bajoe, Thomas Janu W, Khairudin Khairudin, Getrudis Erna, Jentiana, Riffat Dandel, Samsul Fakhry, Supri Yono, Hasan, Maxi Kauwo-Tololiu, Rodinson Sinabang, Rahayaan Eros, Arter Waani Wa, Yasozisokhi Telaumbanua, Chaterina Syafei, Prihadi, Paschal Ndate, Meya Kondaga, Piaus Sinaga, Hadi Py, Jevania , Luis Holland, Mateus Ronta, Rahayu Puji, Jerry Yan, Budiyanto, Melki YL, Agung Saputra, Jonas Sipayung, Maria Sumampouw, Inpres, Nerius Pedadobik, Daence Matasina, Vanny Supit, Selvia Puspita, Mursalinbone, Akemad Akemad, Lau Yanto, Tarruno Afuw, Yohanes Fernandez Aikoli, Pendeta Fobaso Ndruru, Tri Usman, Galid, Iskak Wibowo, Yohnsiloho Kobak, Joseph Muyak, Suhari Wl Waluyo, Herni Hadiprawira, W Lanypuja, Milan, Babeh Beh, Darisman Koto, Sofyan Ginting, Made Sumerta, Dominggus Noya, New Sekar Madu Nerang, Andrie Herman Paat, Manihar Sitorus, Ahmad Fendi L, Masbukhin, Lot, Dovan Opang, Paulus Darsono, Pramadya Purnomo, Mohamad Siddik Nur, Junior Anakay, Eko Mujiono, Iwan Roswandy, Mahmudi, Mynna Cendra Kasih, Lilik Handoko, Kornelis Wiriyawan Gatu, Lam Malihu, Rizki Gumilang S, Falalini Waruwu, Barisan Sianturi, Ando M, Berwulo Bernard, Sukarno, Prantio, Muhlis Halik, Taklemarto Taklemarto, Alfons Weking, Farhana Lestari, Dewa Sukma Prayojana, Ita T Arunde, Windy, Bertha Cleone Vasti, Piter Ate, Chris Warouw, Ishak Buruh Tani, AfliAna Afli, Amalfo Kampar Amalfo Kampar, Rensy Siregar, Sutoyo Sutoyo, Frans Sumolang, Deraman Deraman, Farid Mb, Seniman Seniman, Riandju Dyu, Lyn Muri, Silva Landa, Muh Bakir, Piterson Tampusu Son, Ayubi Kang Be, Benny Atawollo, Istamar Ash-Ashidiqy, Indra Jaya Imwut, Julfikar Hutabarat, Luk Luk Durrotul Maknun, Rusli Antameng, Putu Astawa, Bobby Norman Tomahu, Jufenli Raolika, Ficky Rompis, Rio Lembak, NachaTa Amat Pindarante, Syafril Soele Radjo Babandiang, Alri Karundeng, Rini Setiawati, Gibran, W Nainggolan, Dimpu Siahaan, Osarao, S Rudi Hartono, Sabar Oloan Situmeang, Inang Nento, Denny Djehono, Martil, Martinus Leuwol, Yeremias Dala, Tombang Freddy Tamba, Krisna Abadi, Wiyonowahyu, Bezisokhi Daeli, Khoirudin Ir, Oktovina Sedubun, Arry Zeran, Wien Zk, Sendy El, Jhon Ate, Salesius Jono, Badar, Mat Najeh, Sunarko Tekley, Maramunthe, Josua S Zalukhu, Zainal L P, Hafnidar Nasution, Justan Sianipar, Alfon Keys Keyao, Wayan Widiasa, Arman Arifin Manullang, Dian Ariesta Krisdianto, Gus Sangka, Hasan T, Esrokat Laia, Iskandartani Live, Samora Mora, Lidya Rumengan, Ciung Wanara Ciung, Sol Eh, Kien Giang Rachgia Nguyen, Melan, Samser Sihite, Hendra Wong Bejo, Will Fortes, Miroyo Darmawan, Su Warno, Haris Salote, Ama Heri Gea, Jacky Mukuan, Mahd Faazry, Pakel Fararel, Koswara, Obess Gondron, Maria Milala, Rasmi Rasmi, PuThra Praing, Seprianus Djailolo, Ignas Lopo, Natan Api, Joko Supriono, Musa Ginting, Sabar Pintubatu Sigiro, Samsu Jambul, Edgar Tunang, Su No, PapaArisfa, Skolastika Lepang, Marolo Sihotang, Ketutwinda, Yusuf Tomarere, Nefsan Christian Mungkur, Khairul Faiz Bin Ismail, Abson Mambu, Ari Bero, Robby Wibowo, Tamsil Aki, Legowo Siboen, Teger Bre Tigan, Israel ProGan, Toar Glenn Raymond Mawey, Suardana I Komang, Hari Susanto, Ppnainggolan Sth, Pkne Nadia, Johny Tewal, Nus Wadu Mata, Eddy Baskoro, Sopiyani, Adhi Ka, Valentino Songgo, Ali Kote Ali, Alilah Napa, Mulyadi Rumini Rumini, Bery's Waruwu",,Jewish,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-6688,"['20', '5', '23', '31']",KRNA PUTUSAN CACAT ETIK & MORAL DIPERLUKAN BACAPRES YANG BERETIKA & BERMORAL UNTUK MENGANULIR PENCAPRESANNYA,,Disabilitas,"['0', '0', '0', '0']","['1', '1', '1', '0']","['1', '0', '0', '0']","['1', '1', '1', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']"
1-6689,"['20', '5']",#CUMA GANJAR PRANOWO YANG BERANI MENOLAK ISRAEL DI U 20.,,Jewish,"['0', '0']","['1', '1']","['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
